手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は互いに飛車先を突き越しての角換わりに決まった。
手数57: 角を引いている場合ではないということで、相手陣に突っ込んでいった。代えて▲７二銀もあっただろう。

手数62: 代えて△６一飛は、▲７二金△３一飛▲６三歩成というようにぽちぽちこられて後手が苦しかったか。

手数63: 後手の攻め駒をじわじわと削りにいく。７三桂を助ける手段は難しそうだ。

手数64: 受けていても仕方がないということで、攻め合いに。

手数66:

手数67: 飛車を追いかけた。これに（１）△９三飛は▲８五桂だし、（２）△５二飛も▲６三歩成の調子がよい。

手数68: 飛車は見捨てて攻める。▲９二桂成△４八との進行は後手に分がありそうだ。

手数71: △３六歩に、金を逃げる。ここもまだ▲９二桂成とはいけなかったようだ。

手数72: 決められるだけ決めてから飛車を逃げた。

手数73: 飛車を捕獲。

手数76: 先手陣を鋭く射抜く角打ち。先手は持ち駒の金を使う必要がありそうだ。

手数77: これで後手の攻めを押さえ込むことができるかどうか。

手数80: 先手に手番が回った。

手数81: 大きなと金。次は▲５三と△同玉▲４一飛が厳しい攻めになる。

手数82: 玉の早逃げで対応。しかし、形勢は先手がややリードしているといえそうだ。

手数84: 角を逃げながら、先手玉そばの金をにらむ。

手数85: いかにも筋の突き出し。△４五同角には▲４三歩だ。

手数86: 中段で威張っている金の頭をたたいて、応手を尋ねた。

手数87: 腰掛け金の形にして安定を得る。

手数88: 後手はとにかく金を目標にしながら攻めている。

手数89: 銀を犠牲にして、手番を取りにいった。

手数91: 攻防に飛車を打ち下ろす。

手数92: ５三とと８四桂の両取りに角を打った。場合によっては△６七銀から強く迫る筋もできている。

手数93: 先手にとって５三とは価値の高い駒にも思えるが、△７五角は直接は相手にせずに飛車先の歩を突き出した。

手数94: △２四同銀引。代えて△５三角なら、以下は▲６三飛成△５二銀▲６六竜が予想される進行で、かなりの長期戦になりそうだった。

手数95: 成桂を引いて、５三のと金を取るように催促。

手数97: △５三角▲６六飛成というやり取りで、互いの玉の寿命がかなり延びた感がある。

手数98: ▲４六桂と打たれる筋を消しながら、５三角の可動域を広げた。

手数99: 目障りな角を追って、自玉の上方を耕していく。

手数100: 単に△３五角も考えられたが、４四に途中下車して▲５五金を強要した。

手数103: 盤上の攻め駒を増やす。

手数104: 前に出て勝負。

手数106: 代えて△５二角は▲４五金が嫌だったか。

手数107: 桂で金駒を取ることに成功した。

手数109: 改めて２筋に手をつける。対して（１）△２四同角は▲２五銀、（２）△２四同銀は▲４四銀だ。（３）△２四同歩にはどうするか。

手数110: ２筋はひとまず捨て置いて、後手からもからんでいった。

手数111: △５七銀不成を恐れない強気な姿勢。

手数113: 現局面から△５七角成▲同玉△４六銀と単純に攻めるのは、▲６六玉で先手玉が広いか。

手数114: 巧みな桂打ち。▲６五同金に△５六歩と打てば、歩で竜を取れる形だ。△６五桂に代えて△６六銀もありそうだった。

手数117: 早逃げで安全地帯への脱出を図る。

手数119: なんと、このタイミングで攻め合いにいった。後手に駒を渡すとそれだけ自玉も危なくなるので、▲４三銀は相当に剛毅な一着だ。

手数121: ２枚目の銀も捨てる。これで後手玉を捕まえきれるのか。

手数124: 代えて△４二玉も考えられた。

手数127: 覚悟を決めて踏み込む。後手玉は▲３二角△５二玉▲６四桂からの詰めろになっていそうだ。問題は先手玉がどうなっているか。

手数128:

手数129: 代えて▲７六同玉は、△６四桂が怖かった。

手数130: この△７五銀に▲８五玉は、△８四銀▲８六玉△７五銀打から比較的平易な詰みだ。

手数132: 馬を切って、先手玉を裸にする。このまま即詰みがあってもおかしくはなさそうだ。

手数135: 桂先の玉で耐える。

手数137: 銀１枚をへだてて、互いの玉がすれ違う。現局面で△６二飛は、▲７四玉で逃れているか。

手数138: 銀打ち。▲７二玉は△７一金▲８三玉△７三飛までの詰みだ。

手数141: この局面で後手が投了した。先手玉に詰みはなく、後手玉は適当な受けがない。

