手数1: 先手は▲２六歩と飛車先の歩を突いた。
手数36: ７筋の歩を突く。▲７七銀〜▲６六銀のあと、▲５三歩△同飛（それ以外は▲５五銀右）に▲７五銀を消しながら△７三桂の活用を用意。また△７五歩や角を７三や８二に引く手も可能にしている。

手数37: 壁銀を解消。

手数38: ここで不動だった右銀を活用。

手数39: どんどん銀を繰り出す。次に▲７七角と上がれば５五の地点は制空権となる。

手数40: ▲７七角に△６五桂や、△８六歩▲同歩△８五歩を見せた。

手数41: 深く玉を囲いにいく。▲７八金と上がれば８筋の攻めにも耐久力が増す。

手数42: ３筋の歩を切った効果で、この△３四銀と立つ手が可能になっている。

手数43: ８八に玉を寄ったからにはセットの一手。このあと、４九の金を７九あたりまで寄せてくる順も見ていそうだ。

手数44: ４三に銀を引いて中央を強化。△３三桂は次に跳ねていくのだろう。

手数45: 金を寄ってひもつきにした。

手数46: 左桂を活用。これで△４五歩や△４五桂が権利となった。

手数47: ここで角を戻した。△６五桂があるだけに決断の一手だ。

手数48: ▲５五銀右がくる前に桂を跳ねていく。

手数49: 再び角を６八に戻した。４６手目の局面と比べると、後手は△６五桂を指せて手番を握った計算になる。逆に言えば先手は手番を渡してまでも△６五桂と跳ねさせたかったということになる。

手数50: じっと端歩を突いた。▲９五角を消しており、渋い。

手数51: 金を寄せて玉を固めにいく。

手数52: さらに９筋を伸ばした。ここで▲７九金寄だと将来の端攻めが厳しくなりますよと牽制している。

手数53: 端攻めを狙われているのは間違いないが、それがどうしたとばかりに香を上がった。後手は端を伸ばさずに△４五桂から桂交換して△８四桂を狙えたが、そのときに端を突いていないと▲９八玉のような手を気にしたのかもしれない。とは言え、このまま▲９九玉〜▲８八金〜▲７八金上まで進むと先手玉が堅くなってしまうし、このあたりが後手の攻め頃のように思われる。ただ、△４五歩は▲同桂△同桂▲同銀△同金に▲６五銀の順を気にする必要がある。そこで△８四桂のような手もあり、主導権は後手が持っていそうな将棋だ。先手は戦いになった際に、玉形が悪くなっていることが多そうで、現局面は後手を持って楽しみの多い将棋のように思われる。

手数54: 銀取りに歩を突き出した。この場合、先手は▲４五同桂と▲３五銀から選ぶことになりそうだ。

手数55: 先手は▲４五同桂を選択。

手数56: 桂で取り返す。▲４五同銀△同金▲６五銀までは進むか。

手数57: △４五同金の瞬間は銀損だが、▲６五銀で桂を取ることが可能だ。

手数58: 後手は▲６五銀のときの手番に期待しているのだろう。

手数59: 駒を取り合い、結果的に銀桂交換となった。ただしこの手が角取りである。

手数60: 角を逃げずに８四に桂を設置。▲６四銀なら△７六桂が王手角取りだ。

手数61: 先手は５七に角を上がって桂取りを掛けた。これで後手は角桂両取りが掛かった状況だ。

手数62: ７三に角を逃げながら桂にひもをつけた。▲７四銀には△５六歩で勝負か。

手数63: 飛車取りに歩を打った。△５三同銀なら△５六歩が緩和される。また△５三同飛には▲３七桂のような手があるかもしれない。

手数64: 飛車で応じた。▲３七桂に△５六歩で勝負するのは▲４五桂が厳しそうだが。

手数65: 自陣桂で金取りを掛ける。△４四金には▲４五桂打と継ぎ桂で攻めていくことが可能だ。

手数66: 金を逃げておく。▲４五桂打にも△５二飛で辛抱するか。

手数67: 継ぎ桂で攻めていく。

手数68: 飛車を逃げた。▲５三歩にも△４二飛か。

手数69: 次々と攻めを繰り出していくが、△４二飛にどうするかだ。

手数70: △５三同銀では守りが薄くなる。拠点を残るのはつらいが先手の攻め疲れを待つ方針を見せた。

手数71: ２筋を突き出す。△同歩は▲同角が飛車取りにしながら歩切れを解消した。

手数72: 手抜いて攻め合う。▲４六角にはどういう順で対応するか。

手数73: 角をぶつけた。

手数74: 交換で応じる。▲４六同歩に△６四歩で後手が指せるのではないかと示されていた。

手数75: 先手は▲２三歩成以外に、▲３三角が狙いとなる。

手数76: 銀取りに歩を突き出す。銀が動けば△７六桂が可能になる。

手数77: ５六の歩を取り払い、△７六桂を許す方針を示した。

手数78: 先に入城している先手玉に王手が掛かった。

手数79: 掘った穴に潜ってしのぎにいく。

手数80: ８筋を突き出す。歩が切れれば△８八歩が立つようになる。

手数81: 手抜いて金の利きに角を打ち込んでいった。△３三同金は▲同桂成で攻めが速くなる。となると放置が有力だが、先手からは▲６五銀△同歩▲４四角成の筋があり、△同銀には▲５二金から詰むため、後手としてはしっかりとした対応が必要となる。

手数82: 歩を成って攻め合う。▲８七同金には△８六歩か。△８八歩は▲同金のときの攻め方が難しい。

手数83: ▲８七同金と取り払った。△８六歩には強く▲同金だろうか。ただし飛車の横利きが消えると自玉が詰む形で非常に怖い思いをしなければならない。

手数84: 金取りに歩を打った。対して、▲７六金が▲８六同金よりまさりそうだ。以下、△８七歩成や△８七角のときに手番を握れる。

手数85: 桂を取り払う。△８七歩成が詰めろにならず、攻め合うことが可能だ。ただし５八の飛車の横利きがなくなると自玉は詰む。

手数86: 両金取りに角を打った。厳しいが次にどちらの金を取っても先手玉は詰めろにならない。先手に勝ちの近づく手が出てもおかしくなさそうだ。▲２三歩成が厳しそうだ。△同金は▲４四角成△同銀に▲５四桂が▲５二金以下の詰めろで入るし、かといって▲４四角成に寄せ合いにいくのも、先手が勝ちそうだ。後手は何か誤算があったか。

手数87: 歩を成っていく。△７六角成は▲３二とで先手勝勢。以下△同銀は▲５二金までだ。

手数88: 金で取り払った。ただし▲４四角成が厳しそうだ。

手数89: 角を切って決めにいく。

手数90: 銀で取り払ったが、▲５四桂が▲５二金以下の詰めろで受けにくい。

手数91: 桂を打ち込んでいった。

手数92: 銀を投入して詰めろを解いた。▲４二桂成△同玉▲２一飛が▲３一金以下の詰めろで金取りだが、△２二角と受けて粘るのだろう。

手数93: 飛車を取った。△４二同玉にどうするか。

手数94: ▲２一飛に△２二角は４四の銀が動けば開き王手となる攻防手だ。

手数95: 詰めろ金取りで飛車を打ち込む。

手数96: 銀を引いて金にひもをつけながら飛車に当てた。ただ▲６一飛成の銀取りが受けにくい。▲６一飛成に△７六角成が詰めろ逃れの詰めろだが、▲６二竜△３一玉▲４二金△２一玉▲３二金△同馬と進むと７六から馬が動いた関係で先手玉への詰めろが解け、▲２四歩くらいで先手が勝ちそうだ。

手数97: 銀取りに飛車を成った。▲６二竜以下の詰めろだ。

手数98: 金を取って自陣に利かせた手が詰めろ逃れ。また先手玉に△８七桂以下の詰めろが掛かった。▲６二竜△３一玉▲４二金△２一玉に▲７七歩がいちばん手堅い指し方のようだ。

手数99: 歩を成る手を選択。▲６二竜と王手で銀を取れただけに、読みの入った一手だ。

手数100: ここで▲７七歩がやはり手堅そうだ。

手数101: ４三に馬を逃げるスペースを消しておいてから馬取りに歩を打った。

手数102: 馬を逃げていては見込みがない。切って手番を握りにいった。

手数103: 代えて▲９八同玉は△８七金からトン死。

手数104: △９八角成以下の詰めろ。自陣にも利かせた攻防手だ。

手数105: と金を引いた。△５三同銀引に▲５二角が打てる。

手数106: ここで▲５二角が決め手だ。

手数107: この局面で後手の投了となった。以下△４四玉に▲３五金△５四玉▲５三桂成△同玉▲４五桂△５四玉▲５五銀打まで、後手玉は詰み。金取りに放った３七の自陣桂が、最後は詰みに働く収束だった。

