手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は先手居飛車、後手三間飛車の対抗形。
手数131: △６五香に▲５五竜を用意。それなら△６七歩は二歩で打てない。ただし、馬を引いたので後手玉に対する圧力も弱まった。

手数132: △６九竜の筋ができた。

手数133: ▲７九金では勝機はないということだろう。桂を外して勝負した。

手数134: ▲６五同金には△６九竜（▲６七玉は△７八角）▲８八玉を決めてから△６五歩とすれば、先手玉を上部に逃がすことなく金が手に入る。

手数135: これはいい反応だ。△７四同歩に▲６四馬の王手から６五香を取れる。

手数136: △９二玉は▲８二金、△９三玉は▲７二馬があった。したがって取る一手。

手数138:

手数139: 馬のにらみがあるので△６五同桂は指せない。

手数140: 先手は１３４手目△６五香にうまく対応したと思われたが、まだ事が済んだわけではなかった。馬の利きが後手玉からそれると△６五桂が生じる。

手数141: なるべく追われにくい位置へ。△４四金▲同馬△６五桂は馬が７一に利くので後手も怖い。しかし、このままだと先手から▲７四金と攻める手もある。５五馬の行く末が勝敗を決めるかもしれない。

手数147: △５四歩▲同金を利かしたことで▲７四金が消えた。

手数148: 先手の攻めを遅らせてから攻める。△９六歩から△９七歩成で先手玉は詰み。つまり２手スキである。

手数149: ▲８八香は△９六歩で２手スキは変わらないが、９筋に歩が使えるになれば先手も攻めの手段が増える。終盤のテクニックだ。

手数155: ９筋の攻防は表と裏。すぐにひっくり返る。後手も正確に寄せないと危ない。

手数157: △９六歩は▲９五金で簡単には寄らない。

手数158: 後手としては９七桂が先手玉のフタをしている間に寄せたい。

手数159: ▲６八同銀は△同とが△８九銀までの詰めろだった。

手数160: 竜が向かい合う。

手数162: ▲５五同金に△６九とが△８九銀以下の詰めろだが、そこで▲８五桂が攻防手になる。後手の寄せは一撃では決まらなかった。先手にもチャンスがありそうだ。

手数163: 大駒の取り合いは避ける。竜を大事にした。

手数164: △８九銀までの詰めろ。

手数165:

手数169: ▲６二飛成と▲５四飛成の両狙い。

手数170: その両取りを１手で受けた。

手数171: さらに追撃。

手数172: 金取りで切り返す。この一連の攻防を制したほうが勝ちそうだ。

手数173: ▲７一銀以下の詰めろ。９筋に歩が立つのが大きい。

手数175: 先手は銀角と取れたものの、後手陣は馬付きで堅い。手番も大きく、一連の攻防が後手が制したといえそうだ。

手数176: ▲５七同竜には△４九飛か。△４五飛成が実現すれば９五の金取りにもなる。

手数178: 先手は７九金を守るしかない。

手数179: ９九香が働く展開に期待した。

手数180: ちょっと見えにくい両取りがあった。桂で竜取り、馬の利きで金取り。

手数181:

手数182: 冷静に。そして着実に勝ちに向かう。

手数184: この手も落ち着いている印象だ。竜の横利きが通すことで、△９五角▲同馬に△同竜と取れるようになる。

手数187: ハッとする手が飛んできた。香の利きを通して馬取り。

手数188: △８五同馬で９九香の利きを通すのは危険と判断した。

手数189: 勝負はまだわからない。たゆたっている。△９五同竜▲同香は▲９一角以下の詰めろ。

手数192: ▲９五同香には△５八桂成が詰めろ逃れの詰めろになる。

手数193: 先手が勝負手と鋭手を連発して追い上げている。

手数195: △６一金に▲６二角が王手竜取りだ。ただし、以下△８二玉に▲９五角成は△５一金で後手がいい。▲９五角成では▲９五香を選ぶことになる。

手数196:

手数198:

手数199: △５一金は▲９二飛まで。△６二金▲同竜と進めて、そこで先手玉を詰ますか、または王手竜取りをかける順があるかどうか。

手数200: △９四歩に▲同香△６二金▲同竜は△９五角が王手竜取りだ。

手数203: ▲７四桂以下の詰めろ。逃げきりたい後手、追い詰める先手。

手数204: ▲６二同竜で詰めろは継続する。

手数205: ５筋から竜が動いたことで先手玉がどうなっているか。また、王手竜取りはかかるのか。

手数206: ▲６六玉は△４四角。

手数207: どちらも１手でも間違えれば敗れる。

手数210: 後手が角を離して打ってきたのだから先手は歩の中合いをしたい。ただし、▲５六歩△同角▲６七歩で先手は歩切れになる。

手数211: 角を近づけるべきと判断した。

手数212: ▲６七金は△同角成▲同玉△８九角で危ない。ここも歩合いになる。

手数213: 後手の駒が足りるかどうか。ギリギリである。

手数214: ▲７七同玉に△４四角が王手竜取りになる。

手数217: まだわからない。△６二角に▲７四桂左がある。７四には角が利いているが、いま打った６六の桂が支えになる。

手数218: 先手玉は△６八銀▲同玉△３五角▲５七銀△同角成以下の詰めろになっている。あとは後手玉が詰むかどうか。

手数219: この局面で後手が投了。後手に逃れ筋はなかったようだ。先手が死闘を制した。投了以下は即詰み。（１）△９三玉は▲８二銀△９二玉▲９三歩△同桂▲９一銀成△同玉▲８二金。（２）△７三玉は▲８二銀△８四玉▲７五金△９五玉▲８六金。（３）△７一玉は▲８二銀△６一玉▲６二桂成△同玉▲７一角△５一玉▲５二飛△同玉▲５三金△６一玉▲５二金打。（４）△７四同角▲同桂としても上には逃げられず、（１）〜（３）の順で詰んでいる。

