手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 戦型は互いに飛車先を突き越しての角換わりに決まった。
手数36: ５三の地点を厚くする金上がりで、金銀がなだらかな形で連係した。代えて△６三歩なら穏やかだったが、それでは弱気すぎると見たのだろう。

手数37: △４三金左にも▲６六飛と転回し、▲６三銀成を狙った。

手数38: 遠くから６三の地点に角を利かせる。

手数39: 銀頭をたたいて、後手の形を乱しにかかった。△３五同銀に対する継続手は何だろうか。

手数41: 爽やかに銀を成り捨てにいった。△７三同桂に▲６一飛成で、一時的に銀損ながら、２一桂か９一香を取れる形なので悪くないという判断のようだ。

手数42:

手数44: 両取り逃げるべからずの精神で、攻め手を繰り出した。先手が（１）▲８六同歩と（２）▲８六同銀のどちらを選ぶかを見てから自身の受け方を決めようということかもしれない。

手数45: ▲８六同銀を選択。▲８六同歩は８七に空間ができるのが嫌だったか。

手数46: ２一桂を守りつつ、竜をしかりつけた。

手数47: 香を取って、駒損を少し回復。

手数48: 自陣に馬を作って、全体のバランスを取る。これで形勢はいい勝負か。

手数49: 足を止めることなく、攻め手を繰り出した。（１）△３四同銀なら、▲２二角と打てるようになる。また、（２）△２二銀は▲３九香△３六歩▲１五角という筋がありそうだ。なお、（３）△３四同金は▲４三香が痛打。

手数50:

手数51: ▲３六歩に△同銀とさせておけば、どこかで▲３九香と打つ味があるか。形勢のほうも互角といってよさそうだ。

手数53: 今度は２筋に手を出す。

手数55: 香の田楽刺しで銀を取りにいった。

手数56: 竜に飛車をぶつけて、交換を迫る。▲８一同竜△同馬▲３六香△同馬と単純に進めるのは、△３九飛〜△８八歩という速くて効率のよい攻め筋が残るので先手がまずいか。

手数57: 竜をかわしつつ、後手の要の駒になっている７二馬に照準をあわせる。

手数58: 持ち駒の銀を使って、がっちり受ける。

手数59: 飛車を取った。代えて（１）▲７二竜から△同銀に▲３六香や、（２）▲６三角△９二銀▲７二角成という順もあっただろう。

手数61: 攻防の位置に角打ち。△７二馬は▲３六香があるので、後手は▲７三角成が少し受けづらそうだ。

手数62: 手筋の中合いを放つ。▲６四同角に△６三馬が角当たりで、うまくしのげているか。

手数63: 密度の濃い中盤戦が続いている。

手数65: じっと角を引いた。代えて▲３六香から△６四馬▲２二飛と踏み込む順も読んだのだろう。

手数66: 長らく受けに回っていた後手が、いよいよ反撃に出る。

手数67: 代えて▲８八同玉は△３八歩が嫌だったか。以下▲３八同香なら△３九飛だ。

手数68: 王手で桂をはがす。

手数70: 代えて△３九飛〜△３六飛成も有力そうだったが、あえて３五に歩を受けた。▲３五同香ならそこで△３九飛と打ち、金取りを受ける手に△３五銀ということだろうか。

手数71: 歩の垂らしで迫る。△２三同銀は▲２二飛△３二銀▲２三銀がうるさそうだ。なお、▲２三歩に代えてすぐ▲２二飛は△３一玉で受かっていた。

手数72: ４六角ににらまれている桂を逃げつつ、△７七桂打を見せた。これで６三馬も自由に動ける。

手数73: ここで飛車打ち。（１）△３一玉とかわすのは、▲３二銀△４二玉▲２一銀不成△４一玉▲３二飛成までの詰みだ。（２）△４一玉や（３）△３三玉は▲２一飛成が厳しい。後手は（４）△３二桂と合駒をするしかなさそうだが、そうすると△７七桂打がなくなる。これは先手が一本取ったか。

手数75: 後手はこのまま▲２二歩成を許してはどうしようもなくなる。

手数76: 自陣飛車の強防で粘りに出た。

手数77: 代えて▲２二竜もありそうだったが、さっぱりと交換に応じる。

手数78: ▲５五桂は見えているが、代えて△４一同馬も▲８二飛があった。

手数79:

手数81: 馬に当てながら銀を据える。△３六馬にはどのような順を用意しているのか。

手数82: ひとまず金取りの先手で飛車を打ちおろした。

手数83: 自玉から遠ざかる金寄りで対応。先手玉周りはがらがらになってしまったが、大丈夫だろうか。

手数84: 馬を銀と刺し違えた。▲６三同桂成に△７七銀で勝負するつもりのようだ。

手数86: △５九飛成▲同金△８八金までの詰めろ。先手は受けに使える持ち駒が大駒だけなので、困っていてもおかしくなさそうだ。

手数87: なりふり構わずに受ける。形勢は逆転で後手がよくなっているか。

手数90: ぴったりの歩打ち。▲８五同銀は△７七飛▲８八玉△８六歩で後手勝ち筋だ。以下▲８六同歩は△５九飛成。

手数91: ▲５一角成△同金▲同馬△同玉▲５二金までの詰めろで角を成る。

手数92: するりと上に逃げ越す。これで後手玉はまだしばらく安全だ。

手数93: 開き直って、６五の桂取りを見せた。

手数94: 銀を取る。勝ちへの手順を見いだせたかどうか。代えて△５七桂成も考えられた。

手数96: 香を取りつつ、△７六竜以下の詰めろ。

手数100: 素朴な飛車の王手が痛烈。以下（１）▲８八歩は△８五香、（２）▲７八玉や（３）▲７七玉にも△８五香だ。

手数101:

手数102: この局面で先手が投了した。先手玉には△８七香成▲６七玉△７八銀▲６八玉△７九飛成までの詰めろがかかっており、適当な受けもない。一方の後手玉はまだ安泰だ。

