手数1:

手数2:

手数3:

手数4:

手数6: 戦型は後手の三間飛車に。
手数97: △９三同香に▲８五桂の狙いがある。竜の横利きを生かした受けだ。

手数99: △９八香成▲同銀△９七歩成に▲９三桂不成と香を１枚外せば、先手玉はまだ耐えられる。

手数100:

手数102: 歩を成った。

手数103: 根元の香を外す。

手数105: これで端の猛攻はひとまずしのいだ。激戦だ。

手数106: 今度は桂で絡んでいく。

手数107: 金取りを受けながら後手玉に狙いを付けている。

手数108: 桂を補充して、攻め駒は十分たまっている。

手数109: 金をかわして、王手桂取りになっている。

手数111: 桂を外してまだ頑張っている。

手数113: 馬を引きつけて先手の穴熊は健在だ。

手数114: ７筋が勝負の要所と見たのだろう。自陣香で力を足した。

手数115: 香には香で応戦。

手数116: 竜の横利きをずらしにいった。

手数117: 竜を動かす前に香をさばいた。

手数119: 竜を逃げずに馬取りで切り返す。

手数121: 馬を取った手が金に当たって調子がいい。

手数122: 後手は構わず飛車を下ろした。△７九飛成以下の詰めろだ。

手数125: いったん詰めろを受けた。

手数126: この香は金取りをかけつつ自陣の弱点を消した意味がある。例えば▲８三銀△同玉▲６一角のような筋が消えているのが大きい。激戦の終盤で後手が冷静な好手を見せた。

手数127: 焦点の叩きで揺さぶりをかける。

手数129: 必死で手をつなぐ。

手数133: △８六香なら▲８四角の狙い。この角を打たれるのは後手も不安だろう。

手数134: 早逃げで玉の安全を図る。

手数135: 受けの技を見せる。△５九同飛成は▲２六角の王手飛車だ。

手数136: 飛車を逃げずにこちらから。

手数139: 竜を逃げずに△８六香が入るのかどうか。

手数140: 後手は竜を切って寄せにいった。

手数141: △８六香が自然な攻めだが、香を走ると後手玉も飛車打ちに弱くなるので、しっかり読み切らないとうかつには指せない。

手数142: いきなりの桂打ちで寄せにいった。６八の地点も塞いでいるので有力そうだが、▲７八金と寄られたときに金が１枚だと△８八金に▲７七玉で少し足りない。うまく寄せられるかどうかだが。

手数143: ここで寄せなければいけない。ゆっくりしていると▲７四銀や▲７六金で逆転してしまう。

手数144: ▲７七同玉には△９九角が厳しそうだ。▲７七同銀には△７五銀で、以下▲同金なら△８九角▲同銀△８七銀以下詰みがある。

手数146: ▲７五同金とは取れない。どうするか。

手数147: ６八の退路を塞いでいた桂を外した。

手数148: 角で先手玉の退路を塞いで△７九金までの詰めろ。先手から▲３五角と王手されるのを防いだ意味もあるか。

手数151: この王手に△８三歩と合駒すると先手玉の詰めろが外れて▲７五金でいけない。

手数152: 香合いで先手玉への詰めろを保った。

手数153: これで先手玉の詰めろが解けている。

手数155: 先手は焦らず銀を取り返した。どうやらはっきり逆転して先手が勝勢になっているようだ。

手数156: △７七金以下の詰めろ。しかし後手玉もかなり危ない。

